Bwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Avg Bwd Segment Size,Packet Length Std,Max Packet Length,Packet Length Variance,Fwd IAT Std,Packet Length Mean,Average Packet Size,Idle Max,Idle Mean,Flow IAT Max,Fwd IAT Max,Idle Min,Flow IAT Std,Min Packet Length,Bwd Packet Length Min,Fwd IAT Total,FIN Flag Count,PSH Flag Count,Flow IAT Mean,Bwd IAT Std,Fwd IAT Mean,Destination Port,URG Flag Count,Fwd Packet Length Min,ACK Flag Count,Bwd IAT Max,Idle Std
5185.44164,11595,2319.0,2319.0,3338.887739,11595,11100000.0,44000000.0,997.3333333,1088.0,98300000,98300000.0,98300000,98300000,98300000,31100000.0,0,0,98300000,1,0,9830301.7,49100000.0,19700000.0,80,0,0,0,98300000,0.0
2537.820147,5792,1932.5,1932.5,1851.894516,5792,3429513.297,40400000.0,850.2857143,915.6923077,98900000,98900000.0,98900000,98900000,98900000,28600000.0,0,0,98900000,0,0,8243909.5,463.6607596,16500000.0,80,0,0,1,1097,0.0
1754.831473,4344,1932.5,1932.5,1423.410134,4344,2026096.41,37900000.0,799.8666667,857.0,100000000,100000000.0,100000000,100000000,100000000,27800000.0,0,0,100000000,0,0,7724356.692,58845.23909,14300000.0,80,0,0,1,134149,0.0
0.0,174,174.0,174.0,62.4576046687,174,3900.9523809524,15793.7052967314,82.5714285714,96.3333333333,0,0.0,27359,27359,0,11940.0119011666,46,174,27366,0,0,6171.2,0.0,9122.0,53,0,46,0,3,0.0
0.0,0,0.0,0.0,0.0,0,0.0,2460.041531,0.0,0.0,0,0.0,5166,5166,0,2460.041531,0,0,6182,0,0,1545.5,0.0,1545.5,80,0,0,1,0,0.0
1561.969346,4380,1657.285714,1657.285714,1468.855269,4380,2157535.8,12023.64371,1057.0,1162.7,0,0.0,22538,17007,0,8762.510696,0,0,17010,0,1,4464.222222,10306.18466,8505.0,80,0,0,0,22538,0.0
3022.508098,7300,2320.2,2320.2,2460.652985,7300,6054813.111,2804.385494,1291.888889,1453.375,0,0.0,327448,3967,0,123425.7535,0,0,3968,0,1,47562.0,162828.8142,1984.0,80,0,0,0,327448,0.0
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,89,0,0,0.0,0,0,0,0,0,89.0,0.0,0.0,56332,1,0,1,0,0.0
199.3768865,746,53.28571429,53.28571429,152.8341923,746,23358.29032,4181097.614,38.09677419,39.36666667,10000000,10000000.0,10000000,10100000,9999260,4877303.0,0,0,115000000,0,1,3981564.966,3762086.644,7697692.267,80,0,0,0,10100000,3812.89668
0.0,0,0.0,0.0,0.0,6,0.0,0.0,6.0,9.0,0,0.0,42,42,0,0.0,6,0,42,0,0,42.0,0.0,42.0,80,0,6,1,0,0.0
0.0,118,118.0,118.0,40.98780306,118,1680.0,17672.99474,58.0,67.66666667,0,0.0,30636,30636,0,13953.85463,34,118,30687,0,0,9619.0,0.0,10229.0,53,0,34,0,4,0.0
0.0,0,0.0,0.0,3.286335345,6,10.8,3843401.835,2.4,3.0,0,0.0,5539798,5539798,0,3168693.536,0,0,5644205,0,1,1881401.667,0.0,2822102.5,80,0,0,0,0,0.0
0.0,133,133.0,133.0,47.34272207,133,2241.333333,0.0,78.33333333,117.5,0,0.0,70890,0,0,0.0,51,133,0,0,0,70890.0,0.0,0.0,53,0,51,0,0,0.0
0.0,0,0.0,0.0,0.0,50,0.0,1.422226168,50.0,53.84615385,0,0.0,6,6,0,1.422226168,50,0,21,0,0,1.75,0.0,1.75,137,0,50,0,0,0.0
0.0,71,71.0,71.0,21.36117974,71,456.3,0.0,47.6,59.5,0,0.0,852,3,0,489.8819586,32,71,3,0,0,286.3333333,0.0,3.0,53,0,32,0,4,0.0
0.0,50,50.0,50.0,8.76356092,50,76.8,0.0,40.4,50.5,0,0.0,192,4,0,108.8316743,34,50,4,0,0,66.33333333,0.0,4.0,53,0,34,0,3,0.0
359.0111419,722,183.5,183.5,601.817248,1652,362184.0,164194.4372,299.0,341.7142857,0,0.0,232569,232360,0,119907.0639,0,0,232514,0,1,77628.5,134207.2353,116257.0,80,0,0,0,232797,0.0
0.0,78,78.0,78.0,15.33623161,78,235.2,0.0,61.2,76.5,0,0.0,113,3,0,55.30220008,50,78,3,0,0,54.66666667,0.0,3.0,53,0,50,0,48,0.0
0.0,74,74.0,74.0,14.2407864951,74,202.8,0.0,58.4,73.0,0,0.0,1114,2,0,641.7250189918,48,74,2,0,0,373.0,0.0,2.0,53,0,48,0,3,0.0
0.0,0,0.0,0.0,0.0,62,0.0,0.0,62.0,93.0,0,0.0,47,47,0,0.0,62,0,47,0,0,47.0,0.0,47.0,137,0,62,0,0,0.0
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,989,989,0,0.0,0,0,989,0,0,989.0,0.0,989.0,80,0,0,1,0,0.0
0.0,6,6.0,6.0,3.464101615,6,12.0,0.0,2.0,3.0,0,0.0,41,0,0,0.0,0,6,0,0,1,41.0,0.0,0.0,1,0,0,0,0,0.0
0.0,6,6.0,6.0,0.0,6,0.0,0.0,6.0,9.0,0,0.0,21,0,0,0.0,6,6,0,0,0,21.0,0.0,0.0,58516,1,6,1,0,0.0
0.0,185,185.0,185.0,76.68115805,185,5880.0,0.0,101.0,126.25,0,0.0,259,1,0,148.9563695,45,185,1,0,0,87.0,0.0,1.0,53,0,45,0,1,0.0
806.1268511,1521,608.0,608.0,531.1918178,1521,282164.7473,1758597.464,244.8571429,263.6923077,0,0.0,4721696,4721696,0,1352403.963,0,2,5178567,0,1,431547.25,50090.67014,739795.2857,443,0,0,0,91392,0.0
0.0,0,0.0,0.0,0.0,6,0.0,0.0,6.0,9.0,0,0.0,3,3,0,0.0,6,0,3,1,0,3.0,0.0,3.0,443,0,6,0,0,0.0
0.0,119,119.0,119.0,43.8178046004,119,1920.0,0.0,71.0,88.75,0,0.0,132,48,0,48.4974226119,39,119,48,0,0,76.0,0.0,48.0,53,0,39,0,48,0.0
0.0,79,79.0,79.0,25.19523765,79,634.8,0.0,51.4,64.25,0,0.0,264,3,0,150.6884203,33,79,3,0,0,90.0,0.0,3.0,53,0,33,0,3,0.0
0.0,132,132.0,132.0,55.86770087,132,3121.2,0.0,70.8,88.5,0,0.0,185226,48,0,106925.5609,30,132,48,0,0,61759.0,0.0,48.0,53,0,30,0,3,0.0
0.0,6,6.0,6.0,214.2153122,485,45888.2,59577.28185,101.8,127.25,0,0.0,85099,85165,0,48852.00635,6,6,86075,0,0,28691.66667,0.0,43037.5,53496,0,6,1,0,0.0
0.0,0,0.0,0.0,0.0,6,0.0,0.0,6.0,9.0,0,0.0,1,1,0,0.0,6,0,1,0,0,1.0,0.0,1.0,61871,0,6,1,0,0.0
0.0,0,0.0,0.0,0.0,0,0.0,488.837652,0.0,0.0,0,0.0,982,982,0,488.837652,0,0,995,0,0,248.75,0.0,248.75,80,0,0,1,0,0.0
817.5,1635,408.75,408.75,540.7310124,1635,292390.0278,15520.0193,203.5555556,229.0,0,0.0,24200000,27586,0,9132127.223,0,0,53763,0,1,3460577.286,13900000.0,17921.0,80,0,0,0,24200000,0.0
0.0,0,0.0,0.0,15.5,31,240.25,159.8061325,7.75,10.33333333,0,0.0,228,228,0,159.8061325,0,0,230,0,0,115.0,0.0,115.0,33675,0,0,1,0,0.0
0.0,0,0.0,0.0,2.927700219,6,8.571428571,2251501.891,1.714285714,2.0,0,0.0,4322916,4322916,0,1867600.983,0,0,5347915,0,1,1069583.0,0.0,1782638.333,80,0,0,0,991557,0.0
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3,3,0,0.0,0,0,3,0,0,3.0,0.0,3.0,80,0,0,1,0,0.0
0.0,132,132.0,132.0,50.93819785,132,2594.7,0.0,76.2,95.25,0,0.0,126,3,0,62.1476736,39,132,3,0,0,59.33333333,0.0,3.0,53,0,39,0,49,0.0
1754.831473,4344,1932.5,1932.5,1498.180285,4344,2244544.167,38400000.0,920.0,996.6666667,85900000,85900000.0,85900000,85900000,85900000,25900000.0,0,0,85900000,0,0,7820745.0,60280.37508,17200000.0,80,0,0,1,137352,0.0
0.0,27,27.0,27.0,0.0,27,0.0,2887635.847,27.0,30.375,7255756,6128645.0,7255756,5001534,5001534,2973270.089,27,27,5001538,0,0,1942776.429,4189111.814,1667179.333,53,0,27,0,7255756,1593975.662
0.0,242,242.0,242.0,113.926292,242,12979.2,0.0,117.2,146.5,0,0.0,55206,3,0,31871.17824,34,242,3,0,0,18404.33333,0.0,3.0,53,0,34,0,4,0.0
0.0,118,118.0,118.0,46.00869483,118,2116.8,0.0,67.6,84.5,0,0.0,31602,1,0,18244.26853,34,118,1,0,0,10535.33333,0.0,1.0,53,0,34,0,3,0.0
636.7533723,1448,466.0,466.0,460.8155306,1448,212350.9532,1639863.789,235.7894737,248.8888889,0,0.0,4935258,4935258,0,1195091.054,0,0,5064297,0,1,297899.8235,14051.15894,562699.6667,443,0,0,0,31053,0.0
0.0,141,141.0,141.0,61.34492644,141,3763.2,0.0,73.8,92.25,0,0.0,30966,48,0,17863.52017,29,141,48,0,0,10339.0,0.0,48.0,53,0,29,0,3,0.0
1757.789948,4380,1933.5,1933.5,1434.571657,4380,2057995.838,29600000.0,777.5333333,833.0714286,78400000,78400000.0,78400000,78400000,78400000,21700000.0,0,0,79600000,0,0,6122343.308,12424.66957,11400000.0,80,0,0,1,27659,0.0
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,87,0,0,0.0,0,0,0,0,0,87.0,0.0,0.0,39020,1,0,1,0,0.0
0.0,0,0.0,0.0,0.0,6,0.0,0.0,6.0,9.0,0,0.0,61,61,0,0.0,6,0,61,0,0,61.0,0.0,61.0,80,0,6,1,0,0.0
0.0,6,6.0,6.0,2.309401077,6,5.333333333,0.0,3.333333333,5.0,0,0.0,44,0,0,0.0,2,6,0,0,1,44.0,0.0,0.0,50001,0,2,0,0,0.0
0.0,48,48.0,48.0,0.0,48,0.0,0.0,48.0,72.0,0,0.0,16285,0,0,0.0,48,48,0,0,0,16285.0,0.0,0.0,123,0,48,0,0,0.0
